time,val
5,5
10,16
16,33
21,48
27,65
32,82
37,92
44,95
49,103
55,110
60,112
66,113
71,120
76,123
82,122
88,124
94,131
99,132
105,130
110,134
116,140
121,139
128,137
133,142
139,146
148,144
157,145
166,151
176,151
185,152
194,153
204,156
214,157
223,159
232,159
241,159
250,162
260,162
270,163
279,163
288,164
297,164
307,163
316,164
325,164
335,164
345,164
354,163
363,163
372,162
381,161
391,160
401,157
410,156
419,154
429,153
438,151
447,151
456,150
465,147
476,145
485,143
494,141
503,139
513,135
522,133
531,130
541,128
550,125
560,123
569,122
578,118
587,116
596,112
607,110
616,108
625,104
634,102
644,98
652,99
660,97
669,99
677,98
686,95
694,91
702,86
710,82
718,79
727,75
736,73
744,72
752,73
760,75
769,77
777,79
785,79
793,78
802,75
811,73
819,71
827,70
835,68
843,66
851,67
860,70
869,75
877,79
885,82
893,84
902,83
910,82
918,81
926,81
935,80
944,79
952,81
960,84
968,89
976,97
985,103
994,104
1004,106
1014,106
1025,104
1035,103
1045,105
1055,106
1067,110
1077,116
1087,125
1097,133
1107,138
1118,140
1128,139
1139,136
1149,134
1160,134
1170,137
1180,143
1190,150
1202,158
1212,162
1222,163
1232,163
1243,159
1253,155
1263,155
1274,156
1285,160
1295,165
1305,171
1315,174
1326,173
1337,172
1347,167
1357,162
1368,159
1378,159
1388,160
1399,164
1410,169
1420,171
1430,170
1440,167
1451,162
1461,154
1472,149
1482,146
1492,146
1503,148
1513,153
1523,154
1534,152
1545,148
1555,142
1565,134
1575,126
1586,121
1596,120
1607,121
1617,123
1628,126
1638,124
1648,121
1658,114
1670,107
1680,100
1690,95
1699,92
1709,92
1718,90
1727,91
1737,89
1746,87
1756,84
1765,83
1774,81
1783,81
1793,80
1803,77
1812,76
1821,76
1830,75
1840,75
1849,74
1858,74
1868,73
1878,73
1887,73
1896,73
1905,74
1914,74
1924,75
1934,77
1943,78
1952,79
1961,80
1971,82
1980,85
1989,87
1999,90
2009,90
2018,93
2027,94
2036,97
2045,100
2056,105
2067,108
2077,109
2087,112
2098,110
2108,109
2118,112
2128,116
2140,123
2150,131
2160,139
2170,143
2181,144
2191,143
2202,140
2212,138
2223,139
2233,142
2243,148
2253,155
2265,162
2275,165
2285,166
2295,165
2306,161
2316,157
2326,156
2337,158
2348,161
2358,167
2368,172
2378,175
2388,175
2400,172
2410,168
2420,162
2430,160
2441,159
2451,161
2461,165
2472,169
2483,170
2493,169
2503,165
2513,160
2524,151
2535,146
2545,144
2555,144
2566,146
2576,150
2586,151
2597,149
2608,144
2618,137
2628,129
2638,122
2649,118
2659,116
2670,117
2680,119
2691,120
2701,118
2711,114
2721,108
2733,101
2743,95
2752,93
2761,91
2770,89
2780,91
2789,89
2799,87
2808,84
2818,83
2827,81
2836,80
2845,78
2854,77
2865,77
2874,74
2883,74
2892,74
2902,74
2911,74
2920,72
2930,73
2939,74
2949,74
2958,75
2967,75
2976,76
2985,78
2996,79
3005,81
3014,81
3023,84
3033,84
3042,86
3051,89
3060,91
3070,94
3080,95
3089,98
3098,101
3108,108
3119,111
3130,114
3140,117
3150,115
3161,113
3171,113
3181,116
3191,121
3203,128
3213,136
3223,143
3233,147
3244,148
3254,147
3265,143
3275,141
3286,143
3296,146
3306,152
3316,159
3326,165
3338,168
3348,168
3358,166
3368,161
3379,158
3389,158
3400,159
3410,163
3421,169
3431,174
3441,176
3451,175
3463,172
3473,166
3483,160
3493,158
3504,158
3514,160
3524,164
3535,168
3546,168
3556,166
3566,162
3576,155
3587,148
3598,143
3608,141
3618,141
3629,143
3639,146
3649,146
3660,143
3671,138
3681,131
3691,124
3701,117
3712,113
3722,113
3733,114
3743,116
3753,116
3764,114
3774,109
3784,103
3795,96
3805,94
3814,90
3823,88
3832,89
3842,88
3851,86
3860,83
3870,82
3879,79
3889,78
3898,77
3907,76
3916,76
3926,74
3936,73
3945,74
3954,74
3963,74
3973,73
3982,73
3991,73
4001,74
4011,75
4020,76
4029,78
4038,78
4047,79
4057,82
4067,83
4076,86
4085,86
4094,88
4104,91
4113,94
4122,97
4132,98
4142,100
4152,99
4161,107
4171,110
4182,115
4192,118
4203,121
4213,119
4224,117
4234,117
4244,120
4254,125
4265,132
4276,141
4286,147
4296,150
4306,150
4317,148
4328,144
4338,144
4348,146
4359,149
4369,155
4379,163
4389,168
4401,170
4411,169
4421,166
4431,162
4442,159
4452,159
4463,161
4473,165
4484,170
4494,175
4504,176
4514,174
4525,170
4536,164
4546,158
4556,156
4567,156
4577,159
4587,163
4598,166
4609,166
4619,163
4629,158
4639,151
4649,144
4661,139
4671,138
4681,139
4691,141
4702,144
4712,143
4722,140
4733,134
4744,127
4754,119
4764,113
4774,110
4785,109
4796,111
4806,113
4816,113
4827,110
4837,106
4847,98
4856,96
4867,90
4876,88
4885,87
4894,86
4903,84
4913,83
4922,81
4932,78
4941,77
4951,77
4960,76
4969,76
4978,74
4987,74
4998,74
5007,74
5016,74
5025,74
5035,74
5044,73
5053,74
5063,75
5072,76
5082,78
5091,78
5100,79
5109,82
5118,84
5129,86
5138,87
5147,90
5156,91
5166,93
5175,97
5184,98
5194,101
5204,102
5215,105
5225,103
5235,105
5245,107
5256,111
5267,117
5277,126
5287,134
5298,139
5308,141
5318,140
5329,137
5340,136
5350,136
5360,139
5370,144
5381,151
5391,159
5402,164
5412,165
5423,164
5433,161
5443,156
5453,155
5465,157
5475,160
5485,165
5495,171
5506,174
5516,174
5527,173
5537,169
5548,164
5558,160
5568,159
5578,161
5588,164
5600,169
5610,171
5620,171
5630,168
5641,162
5651,155
5662,149
5672,146
5683,146
5693,148
5703,152
5713,153
5724,152
5735,149
5745,142
5755,134
5766,126
5776,122
5786,120
5797,121
5808,124
5818,125
5828,124
5838,120
5849,114
5860,107
5870,100
5880,95
5890,92
5899,92
5908,90
5917,91
5927,90
5937,88
5946,85
5955,83
5964,82
5974,80
5983,79
5993,76
6002,76
6011,75
6021,75
6030,75
6039,74
6048,74
6059,73
6068,73
6077,74
6086,74
6095,75
6105,75
6114,76
6124,77
6133,79
6142,81
6152,81
6161,83
6170,86
6179,88
6189,91
6199,91
6208,93
6217,94
6226,97
6236,100
6246,105
6257,108
6267,109
6278,112
6288,110
6298,109
6308,111
6319,116
6330,122
6340,131
6350,138
6361,143
6371,144
6381,143
6392,140
6403,138
6413,139
6423,143
6433,148
6444,156
6454,163
6465,166
6475,167
6486,165
6496,161
6506,158
6516,157
6528,158
6538,162
6548,168
6558,173
6568,176
6579,175
6590,172
6600,167
6610,162
6621,160
6631,159
6641,161
6651,165
6663,169
6673,170
6683,169
6693,165
6704,159
6714,150
6725,145
6735,143
6746,144
6756,146
6766,150
6776,151
6787,149
6798,144
6808,137
6818,129
