time,val
5,4
10,12
16,22
21,31
27,40
32,52
37,63
44,74
49,86
55,98
60,106
65,111
71,115
76,119
82,122
88,123
94,127
99,130
105,131
110,132
116,136
121,139
126,138
133,140
138,144
146,145
155,145
164,147
174,149
183,152
192,151
202,153
211,156
221,157
230,158
239,159
248,161
258,162
268,163
277,163
286,164
295,165
305,165
314,166
323,165
333,166
343,166
352,165
361,165
370,164
379,164
389,163
399,162
408,162
417,160
427,160
436,158
445,156
454,156
463,153
474,152
483,150
492,149
501,147
510,144
520,142
529,139
539,138
548,135
558,132
567,131
576,127
585,125
594,122
605,120
614,118
623,114
632,112
642,109
651,107
660,105
670,102
679,100
689,97
697,96
705,94
713,94
721,93
730,91
739,90
747,87
755,87
763,85
772,84
780,82
788,78
796,77
805,76
814,76
822,77
830,77
838,78
846,78
855,79
863,79
872,80
880,80
888,79
897,78
905,78
913,79
921,82
929,84
939,86
947,88
955,90
963,92
971,94
979,95
988,96
996,96
1005,96
1014,97
1024,100
1034,104
1044,107
1054,110
1065,113
1076,116
1086,119
1096,121
1106,124
1117,127
1127,129
1138,131
1148,135
1159,137
1169,140
1179,143
1189,145
1201,148
1211,150
1221,152
1231,154
1242,156
1252,158
1262,160
1273,162
1284,163
1294,164
1304,165
1314,166
1325,167
1336,167
1346,168
1356,168
1367,168
1377,168
1387,168
1398,168
1409,168
1419,167
1429,166
1439,165
1449,164
1460,163
1471,161
1481,160
1491,159
1502,157
1512,156
1522,153
1533,151
1544,149
1554,147
1564,145
1574,143
1585,140
1595,137
1606,135
1616,133
1627,130
1637,127
1647,123
1657,121
1669,117
1679,114
1689,111
1699,109
1710,106
1720,104
1731,101
1741,99
1751,96
1760,94
1769,90
1778,88
1787,85
1797,83
1807,82
1816,81
1825,82
1835,81
1844,80
1853,78
1863,78
1872,78
1882,78
1891,79
1900,78
1909,78
1918,78
1928,78
1938,80
1947,80
1956,82
1966,82
1975,83
1984,85
1993,87
2003,89
2013,90
2022,92
2031,95
2040,97
2050,99
2059,100
2070,103
2080,105
2091,110
2101,113
2111,117
2121,120
2132,121
2143,124
2153,124
2163,127
2173,130
2184,133
2194,135
2205,138
2215,141
2226,144
2236,146
