time,val
5,0
10,2
16,4
21,5
27,7
32,10
37,12
44,14
49,16
54,19
60,21
65,23
71,25
76,28
81,30
88,32
93,35
99,37
104,40
109,42
115,45
120,47
126,49
132,52
138,54
143,57
149,59
154,62
159,64
165,67
171,69
177,72
184,74
192,76
201,79
209,81
218,84
226,87
234,89
242,92
250,95
259,97
268,100
277,103
286,105
295,108
305,110
314,113
323,116
333,118
343,120
352,121
361,121
370,122
379,123
389,123
399,124
408,124
417,124
427,125
436,125
445,125
454,125
464,126
474,126
483,126
492,126
501,127
510,126
520,126
529,126
539,127
548,127
558,126
567,127
576,127
585,127
594,127
605,127
614,127
623,126
632,126
642,127
651,127
660,127
670,127
679,127
689,127
698,126
707,126
716,126
726,126
736,125
745,125
754,125
763,125
773,125
782,125
791,124
801,124
811,124
820,124
829,124
838,124
847,124
857,123
867,124
876,123
885,123
894,123
904,123
913,123
922,123
932,123
942,123
951,122
960,123
969,122
978,123
988,122
998,122
1007,122
1017,122
1028,123
1038,123
1048,123
1058,123
1070,123
1080,123
1090,123
1100,123
1111,123
1121,123
1132,123
1142,123
1153,124
1163,124
1173,124
1183,124
1193,124
1205,124
1215,124
1225,124
1235,125
1246,125
1256,125
1267,125
1277,126
1288,126
1298,126
1308,126
1318,125
1330,126
1340,126
1350,127
1360,127
1371,127
1381,127
1391,127
1402,127
1413,127
1423,127
1433,128
1443,128
1454,128
1465,129
1475,129
1485,129
1496,129
1506,129
1516,129
1526,129
1538,128
1548,128
1558,128
1568,129
1579,129
1589,129
1600,129
1610,129
1620,129
1631,129
1641,129
1651,128
1661,128
1673,128
1683,128
1693,128
1703,128
1714,128
1724,128
1735,128
1745,127
1756,127
1766,127
1776,127
1786,127
1798,127
1808,127
1818,127
1828,126
1839,126
1849,126
1859,126
1870,125
1881,125
1891,125
1901,125
1911,125
1922,125
1933,125
1943,125
1953,124
1964,124
1974,124
1984,124
1995,124
2006,124
2016,124
2026,124
2036,124
2046,124
2057,123
2068,123
2078,123
2088,123
2099,123
2109,123
2119,123
2130,123
2141,124
2151,124
2161,123
2171,123
2182,123
2192,123
2203,124
2213,124
2224,124
2234,124
2244,125
2254,125
2266,125
2276,125
2286,125
2296,125
2307,125
2317,125
2327,126
2338,126
2349,126
2359,126
2369,126
2379,126
2390,127
2401,127
2411,127
2421,127
2432,127
2442,128
2452,128
2463,128
2473,128
2484,128
2494,128
2504,128
2514,128
2525,128
2536,129
2546,129
2556,129
2567,129
2577,129
2587,129
2598,129
2609,129
2619,129
2629,129
2639,129
2650,129
2660,129
2671,129
2681,129
2692,129
2702,129
2712,129
2722,128
2734,128
2744,128
2754,128
2764,128
2775,128
2785,128
2796,128
2806,128
2817,127
2827,127
2837,127
2847,127
2857,127
2869,127
2879,127
2889,127
2899,126
2910,126
2920,126
2931,125
2941,125
2952,125
2962,125
2972,125
2982,125
2994,125
3004,125
3014,124
3024,124
3035,124
3045,124
3055,124
3066,124
3077,124
3087,124
3097,124
3107,124
3118,123
3129,123
3139,123
3149,123
3160,123
3170,123
3180,123
3190,124
3202,124
3212,124
3222,124
3232,124
