time,val
6462,172
6472,173
6483,166
6494,161
6504,155
6514,149
6524,158
6535,165
6546,171
6556,175
6566,179
6577,182
6587,172
6597,164
6607,156
6619,149
6629,156
6639,159
6649,165
6660,166
6670,171
6681,172
6691,160
6702,154
6712,145
6722,138
6732,132
6744,139
6754,144
6764,147
6774,151
6785,147
6795,138
6805,129
6816,121
6827,115
6837,107
6847,106
6857,113
6867,119
6879,124
6889,114
6899,108
6909,101
6920,95
6929,110
6939,102
6950,96
6960,81
6969,84
6978,95
6987,76
6996,85
7006,68
7016,78
7025,82
7034,71
7044,82
7053,66
7062,74
7071,71
7081,72
7091,82
7100,67
7109,76
7118,68
7128,73
7137,87
7147,70
7156,81
7165,68
7175,81
7184,87
7193,79
7202,94
7213,77
7222,90
7231,91
7240,89
7249,111
7260,108
7270,105
7281,104
7291,104
7302,102
7312,102
7322,103
7332,115
7344,127
7354,136
7364,143
7374,139
7385,137
7395,133
7405,128
7416,128
7427,133
7437,144
7447,150
7457,160
7468,166
7479,167
7489,160
7499,156
7510,152
7520,145
7530,151
7540,160
7552,167
7562,173
7572,176
7582,182
7592,173
7603,166
7614,160
7624,152
7634,157
7645,163
7655,167
7665,171
7676,175
7687,178
7697,169
7707,161
7717,153
7728,147
7738,141
7749,148
7759,153
7770,156
7780,160
7790,159
7800,150
7812,142
7822,132
7832,126
7842,118
7853,119
7863,123
7873,129
7884,133
7895,133
7905,120
7915,114
7925,107
7936,101
7947,95
7956,106
7966,100
7976,93
7986,102
7996,101
8006,93
8016,73
8026,83
8035,90
8044,74
8053,87
8062,69
8072,78
8082,76
8091,72
8100,83
8110,67
8119,76
8128,69
8137,71
8147,85
8157,68
8166,77
8175,64
8184,76
8194,85
8203,71
8213,85
8222,71
8231,82
8241,85
8250,82
8259,100
8269,96
8280,79
8289,94
8298,102
8308,114
8318,112
8329,110
8339,109
8350,107
8360,106
8371,104
8381,106
8391,118
8401,127
8413,138
8423,147
8433,145
8443,141
8454,137
8464,134
8475,132
8485,134
8496,144
8506,153
8516,160
8526,167
8537,171
8548,163
8558,159
8568,154
8579,150
8589,152
8599,160
8610,165
8621,172
8631,177
8641,181
8651,176
8662,168
8672,161
8683,153
8693,156
8704,160
8714,165
8724,169
8734,174
8745,178
8756,169
8766,159
8776,154
8786,144
8797,136
8808,144
8818,149
8828,151
8839,155
8849,160
8859,149
8869,139
8881,131
8891,124
8901,116
8911,113
8922,119
8932,124
8943,129
8953,126
8964,118
8974,110
8984,104
8994,98
9004,113
9015,104
9025,97
